modGenes	module	colourRGB
ENSBTAG00000011987	turquoise	#40E0D0
ENSBTAG00000011988	yellow	#FFFF00
ENSBTAG00000011994	salmon	#FA8072
ENSBTAG00000011997	salmon	#FA8072
ENSBTAG00000011998	turquoise	#40E0D0
ENSBTAG00000012003	pink	#FFC0CB
ENSBTAG00000012010	blue	#0000FF
ENSBTAG00000012020	magenta	#FF00FF
ENSBTAG00000012022	turquoise	#40E0D0
ENSBTAG00000012026	tan	#D2B48C
ENSBTAG00000012032	turquoise	#40E0D0
ENSBTAG00000012037	green	#00FF00
ENSBTAG00000012041	turquoise	#40E0D0
ENSBTAG00000012043	lightyellow	#FFFFE0
ENSBTAG00000012047	green	#00FF00
